"id","date","assetid","assetname","telemetryid","telemetryname","containerid","sensorid","value","valueasstr","datatype","tenantid","timeseriedataloglabelrelationid"
"0d8a59b0-8ee0-4ba4-b684-12543c87bfaf",2022-11-15 17:36:35.633,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.84,"24.84",0,d06de686-be8e-4504-070c-08da59c702e6,
"185ac826-4cd8-4363-a333-44e9f2895d34",2022-11-15 17:36:35.633,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.84,"24.84",0,d06de686-be8e-4504-070c-08da59c702e6,
cee4fc67-45b0-4c7d-aaf1-b6e0067a9283,2022-11-15 17:41:06.057,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.83,"24.83",0,d06de686-be8e-4504-070c-08da59c702e6,
"6645920b-78d8-4094-99c9-5840eb32fe15",2022-11-15 17:41:06.057,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.83,"24.83",0,d06de686-be8e-4504-070c-08da59c702e6,
"48e3607c-9767-4e4f-9a73-4068d38c57b8",2022-11-15 17:41:06.057,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.83,"24.83",0,d06de686-be8e-4504-070c-08da59c702e6,
"6fa8913c-0eca-4393-a03d-ccae7a4bcf87",2022-11-15 17:45:34.755,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.84,"24.84",0,d06de686-be8e-4504-070c-08da59c702e6,
"26ed7cc9-5aa5-4864-b384-fa6ef1d4ec1c",2022-11-15 17:45:34.755,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.84,"24.84",0,d06de686-be8e-4504-070c-08da59c702e6,
"9ac1de54-0128-446d-b81a-4d06592d1a17",2022-11-15 17:45:34.755,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.84,"24.84",0,d06de686-be8e-4504-070c-08da59c702e6,
"9d098f35-7be7-44e2-8da8-ac05fa62510d",2022-11-15 17:50:05.448,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.83,"24.83",0,d06de686-be8e-4504-070c-08da59c702e6,
"0d755231-492b-42b3-b77f-29e3377b4d10",2022-11-15 17:50:05.448,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.83,"24.83",0,d06de686-be8e-4504-070c-08da59c702e6,
"0ab3c414-c371-443d-aff5-2c1cdfd41d48",2022-11-15 17:50:05.448,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.83,"24.83",0,d06de686-be8e-4504-070c-08da59c702e6,
"211cdc14-58c6-46ba-afa5-0186308394c3",2022-11-15 17:54:33.166,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.83,"24.83",0,d06de686-be8e-4504-070c-08da59c702e6,
